City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,lakatoro,-16.0999,167.4164,24.62,69,82,7.98,VU,1690331619
319,ayr,55.4627,-4.6339,13.99,88,75,3.6,GB,1690331619
320,changyon,38.2508,125.0961,26.29,84,100,3.19,KP,1690331619
321,ribeira brava,32.65,-17.0667,22.35,81,32,1.31,PT,1690331620
322,yarovoye,52.9273,78.58,21.42,49,0,2.87,RU,1690331620
323,andreapol',56.6513,32.2664,13.81,99,72,1.55,RU,1690331620
324,andergrove,-21.0833,149.1833,22.58,65,2,10.07,AU,1690331621
325,nacala,-14.5428,40.6728,19.64,82,12,5.26,MZ,1690331621
326,puerto santa,-8.9906,-78.6456,20.73,81,76,5.34,PE,1690331621
327,timbuktu,16.7735,-3.0074,30.45,49,63,3.84,ML,1690331622
328,minab,27.1467,57.0801,31.44,71,91,1.67,IR,1690331622
329,kudahuvadhoo,2.6708,72.8944,28.06,79,100,5.05,MV,1690331623
330,mont-de-marsan,44.0,-0.6667,15.98,96,47,1.29,FR,1690331623
331,laghouat,33.8,2.8651,28.47,24,7,1.99,DZ,1690331623
332,amos,48.5669,-78.1162,16.25,71,52,1.87,CA,1690331624
333,kyosai,34.8503,128.5886,27.98,87,74,1.11,KR,1690331331
334,taulaga,-11.0553,-171.0883,27.77,70,1,7.38,AS,1690331624
335,acarau,-2.8856,-40.12,25.99,80,8,6.72,BR,1690331625
336,la'ie,21.6477,-157.9253,31.98,73,12,6.61,US,1690331625
337,hithadhoo,-0.6,73.0833,28.14,79,100,6.81,MV,1690331625
338,parfino,57.9731,31.6481,14.19,99,79,1.53,RU,1690331626
339,shindand,33.3029,62.1474,28.5,20,34,1.53,AF,1690331626
340,hamilton,39.1834,-84.5333,29.68,62,0,2.06,US,1690331525
341,sandnessjoen,66.0217,12.6316,14.29,76,100,3.92,NO,1690331626
342,neiafu,-18.65,-173.9833,25.38,65,40,1.03,TO,1690331626
343,manado,1.487,124.8455,30.43,62,20,6.69,ID,1690332069
344,mosjoen,65.836,13.1908,14.29,82,20,1.03,NO,1690331627
345,troitsko-pechorsk,62.7084,56.1964,13.91,89,98,1.22,RU,1690331628
346,fort frances,48.5999,-93.4003,25.12,72,0,4.12,CA,1690331628
347,horta,38.5333,-28.6333,20.57,85,16,1.34,PT,1690331628
348,les cayes,18.2,-73.75,27.04,78,6,1.93,HT,1690331628
349,upington,-28.4478,21.2561,24.21,20,0,5.66,ZA,1690331603
350,murashi,59.3999,48.9615,10.04,95,39,1.22,RU,1690331629
351,koh kong,11.6175,102.9806,27.06,82,97,3.38,KH,1690331629
352,karystos,38.0133,24.4161,30.79,30,0,1.77,GR,1690331630
353,yonggwang-up,40.0183,127.4547,28.26,70,100,0.5,KP,1690331630
354,kirakira,-10.4544,161.9205,27.96,82,57,5.84,SB,1690331630
355,taber,49.8167,-112.1518,28.91,21,5,9.77,CA,1690331631
356,tromso,69.6496,18.957,11.88,87,90,0.51,NO,1690331631
357,taitung city,22.7583,121.1444,25.15,100,75,4.63,TW,1690331563
358,murliganj,25.9,86.9833,28.62,81,100,2.97,IN,1690331631
359,sisimiut,66.9395,-53.6735,6.4,86,51,3.59,GL,1690331632
360,dryden,49.7833,-92.7503,18.16,88,100,4.63,CA,1690331632
361,urangan,-25.3,152.9,19.56,58,63,7.44,AU,1690331633
362,prince rupert,54.3161,-130.3201,15.83,92,100,3.6,CA,1690331633
363,acajutla,13.5928,-89.8275,28.03,76,12,2.45,SV,1690331634
364,port moresby,-9.4431,147.1797,27.68,57,40,5.14,PG,1690331634
365,pohrebyshche,49.4864,29.2636,19.8,81,82,4.89,UA,1690331634
366,polyarnyy,69.1989,33.4478,9.77,95,100,2.25,RU,1690331625
367,ajdovscina,45.886,13.9095,19.99,83,100,4.92,SI,1690331634
368,richards bay,-28.783,32.0377,16.75,76,74,6.34,ZA,1690331608
369,nantucket,41.2835,-70.0995,26.03,98,0,1.54,US,1690331635
370,eaglehawk,-36.7333,144.25,10.87,60,50,1.27,AU,1690331635
371,forbes,-33.3833,148.0167,12.97,58,0,1.13,AU,1690331635
372,tadine,-21.55,167.8833,21.18,55,89,9.09,NC,1690331636
373,ternate,0.8,127.4,28.08,72,100,2.84,ID,1690331636
374,ataq,14.5377,46.8319,25.3,60,56,4.86,YE,1690331636
375,daru,-9.0763,143.2092,26.5,67,100,6.02,PG,1690331636
376,namdrik,5.5994,168.1028,28.5,76,78,2.22,MH,1690331637
377,kismayo,-0.3582,42.5454,24.39,80,55,6.7,SO,1690331637
378,ketchikan,55.3422,-131.6461,18.26,72,75,5.14,US,1690331638
379,al jawf,29.5,38.75,27.4,24,5,4.37,SA,1690331638
380,zhaqsy,51.9083,67.3133,19.99,58,100,8.55,KZ,1690331638
381,temecula,33.4936,-117.1484,39.86,42,0,7.2,US,1690331639
382,vol'sk,52.0333,47.3833,18.18,73,90,1.5,RU,1690331639
383,coahuayana de hidalgo,18.7,-103.6583,28.99,75,100,1.29,MX,1690331639
384,linares,-35.85,-71.6,7.84,94,14,1.32,CL,1690331640
385,roscrea,52.9511,-7.8017,12.37,90,56,2.09,IE,1690331641
386,atkaracalar,40.8159,33.0756,13.4,60,0,0.77,TR,1690331642
387,ust'-ilimsk,58.0006,102.6619,20.69,78,58,1.11,RU,1690331643
388,songea,-10.6833,35.65,12.78,61,42,0.84,TZ,1690331643
389,hadibu,12.65,54.0333,24.99,79,50,12.36,YE,1690331644
390,salinopolis,-0.6136,-47.3561,26.39,81,47,5.02,BR,1690331645
391,baglung,28.2719,83.5898,21.34,95,100,0.93,NP,1690331645
392,empalme,27.9667,-110.8167,37.42,63,20,9.26,MX,1690331645
393,qamdo,31.1667,97.2333,6.93,77,100,1.06,CN,1690331646
394,melendugno,40.2747,18.3368,30.05,84,0,7.2,IT,1690331646
395,taksimo,56.3444,114.8794,23.76,59,6,1.21,RU,1690331647
396,road town,18.4167,-64.6167,27.05,89,40,2.06,VG,1690331648
397,tralee,52.2704,-9.7026,13.99,90,100,2.42,IE,1690331648
398,estevan,49.1334,-102.9842,35.11,23,0,4.12,CA,1690331648
399,san fernando de apure,7.8878,-67.4724,23.73,98,100,2.98,VE,1690331649
400,weno,7.4515,151.8468,29.97,89,100,1.54,FM,1690331649
401,opuwo,-18.0607,13.84,15.87,36,0,1.94,NA,1690331649
402,matoury,4.8483,-52.3317,25.98,94,20,0.0,GF,1690331649
403,naantali,60.4674,22.0243,16.59,99,0,1.03,FI,1690331650
404,shingu,33.7333,135.9833,30.63,62,97,1.64,JP,1690331650
405,prince albert,53.2001,-105.7677,26.97,74,75,4.12,CA,1690331650
406,guerrero negro,27.9769,-114.0611,22.7,69,28,7.7,MX,1690331650
407,puerto baquerizo moreno,-0.9,-89.6,25.11,81,93,4.95,EC,1690331651
408,barreiros,-8.8183,-35.1864,22.72,88,70,2.9,BR,1690331651
409,olinda,-8.0089,-34.8553,23.85,94,75,2.06,BR,1690331652
410,betioky,-23.7167,44.3833,14.35,69,72,3.91,MG,1690331652
411,essaouira,31.5125,-9.77,20.72,87,0,5.66,MA,1690331653
412,tobruk,32.0836,23.9764,27.03,82,0,6.27,LY,1690331653
413,sumedang utara,-6.85,107.9167,23.27,70,32,1.7,ID,1690331653
414,luwuk,-0.9516,122.7875,27.03,80,82,2.83,ID,1690332141
415,yatou,37.15,122.3833,27.63,79,100,5.65,CN,1690331654
416,gadzhiyevo,69.2551,33.3362,9.62,95,99,2.31,RU,1690331654
417,mandalgovi,45.7625,106.2708,18.44,57,44,4.75,MN,1690331655
418,kununurra,-15.7667,128.7333,19.99,40,10,3.6,AU,1690331655
419,san antonio de pale,-1.4014,5.6325,22.9,92,100,4.96,GQ,1690331656
420,markovo,57.3206,107.0881,19.41,88,93,1.46,RU,1690331656
421,chui,-33.6971,-53.4616,13.3,93,100,4.23,UY,1690331656
422,robit,12.0167,39.6333,22.35,56,100,2.73,ET,1690331657
423,fale old settlement,-9.3852,-171.2468,28.72,72,7,7.45,TK,1690331657
424,singkil,-7.9855,111.4161,24.7,74,9,2.84,ID,1690331658
425,beaconsfield,45.4334,-73.8659,24.98,67,75,2.57,CA,1690331658
426,amravati,20.9333,77.75,24.45,92,91,5.21,IN,1690331659
427,kayangel,8.0823,134.7173,25.82,83,100,5.24,PW,1690331659
428,megalopoli,37.4011,22.1422,18.25,24,0,0.62,GR,1690331660
429,qaisumah,28.3112,46.1273,32.98,11,0,2.06,SA,1690331660
430,canico,32.6333,-16.85,22.35,85,75,3.6,PT,1690331661
431,peace river,56.2501,-117.286,13.17,94,100,6.69,CA,1690331661
432,katav-ivanovsk,54.7531,58.1956,17.16,71,99,1.32,RU,1690331661
433,lucheng,31.2336,117.2806,30.07,77,45,1.96,CN,1690331662
434,sao luis do quitunde,-9.3183,-35.5611,21.69,90,73,2.3,BR,1690331662
435,athni,16.7333,75.0667,21.91,93,100,5.28,IN,1690331663
436,kwang binh,17.4833,106.6,29.84,64,100,1.79,VN,1690331427
437,el salto,20.3333,-104.5,17.63,96,100,1.05,MX,1690331663
438,laguna,38.421,-121.4238,38.94,23,0,3.6,US,1690331664
439,maunabo,18.0072,-65.8993,28.17,90,97,6.51,PR,1690331664
440,saskatoon,52.1168,-106.6345,29.99,26,20,6.17,CA,1690331664
441,brookings,44.3114,-96.7984,32.19,65,0,4.63,US,1690331665
442,hirara,24.8,125.2833,30.92,79,75,8.75,JP,1690331665
443,port hedland,-20.3167,118.5667,17.03,42,5,6.17,AU,1690331665
444,cheria,35.2731,7.7519,24.12,54,6,3.09,DZ,1690331665
445,egilsstadir,65.2653,-14.3948,5.95,87,75,3.09,IS,1690331666
446,ilheus,-14.7889,-39.0494,23.9,88,75,3.6,BR,1690331551
447,lazaro cardenas,17.9583,-102.2,28.54,76,86,0.72,MX,1690331666
448,namanga,-2.5433,36.7905,14.13,84,77,1.7,KE,1690331666
449,haiku-pauwela,20.9219,-156.3051,29.54,65,20,12.35,US,1690331667
450,dolbeau-mistassini,48.8763,-72.212,20.36,78,78,2.68,CA,1690331668
451,mahina,-17.5065,-149.489,28.87,74,75,4.63,PF,1690331668
452,kilindoni,-7.9139,39.6668,24.9,76,3,7.43,TZ,1690331669
453,cocachacra,-17.0883,-71.7575,16.77,86,10,1.52,PE,1690331669
454,wynyard,-41.0,145.7167,12.82,77,100,4.25,AU,1690331669
455,coquimbo,-29.9533,-71.3436,14.85,94,0,4.12,CL,1690331670
456,morehead city,34.7229,-76.726,29.01,83,0,4.12,US,1690331670
457,sovetskiy,61.3614,63.5842,15.51,85,27,1.7,RU,1690331670
458,xichang,27.8964,102.2634,20.71,93,100,0.28,CN,1690331671
459,chipinge,-20.1883,32.6236,11.49,95,100,2.19,ZW,1690331672
460,nahiyat ash shinafiyah,31.5874,44.6602,35.9,13,0,2.13,IQ,1690331672
461,masterton,-40.9597,175.6575,7.71,88,100,5.54,NZ,1690331672
462,lesozavodsk,45.4794,133.4244,27.86,59,94,2.99,RU,1690331672
463,kladanj,44.2264,18.6914,16.73,98,100,0.25,BA,1690331673
464,chibougamau,49.9168,-74.3659,20.79,49,75,2.23,CA,1690331674
465,funafuti,-8.5243,179.1942,32.0,74,75,6.17,TV,1690331674
466,novyy urengoy,66.0833,76.6333,19.41,64,100,5.62,RU,1690331556
467,bathsheba,13.2167,-59.5167,26.7,94,40,4.63,BB,1690331675
468,zelenoborskiy,66.845,32.3622,8.14,93,9,1.09,RU,1690331675
469,mariehamn,60.0973,19.9348,12.92,100,20,0.51,AX,1690331675
470,mongar,27.2747,91.2396,19.46,91,100,0.15,BT,1690331676
471,arno,60.1167,18.6333,12.5,92,39,3.67,SE,1690331676
472,sakakah,29.9697,40.2064,30.76,17,8,4.79,SA,1690331676
473,bumba,2.1833,22.4667,22.43,91,97,0.95,CD,1690331676
474,nogliki,51.8333,143.1667,13.54,98,100,4.74,RU,1690331677
475,vuktyl,63.8567,57.3094,14.38,88,8,1.28,RU,1690331677
476,chonchi,-42.6128,-73.8092,7.29,97,47,1.26,CL,1690331678
477,vorkuta,67.5,64.0,16.86,82,100,3.61,RU,1690331678
478,arkhangel'sk,64.5401,40.5433,11.16,98,22,1.92,RU,1690331679
479,marsala,37.7966,12.4352,28.97,84,0,2.06,IT,1690331679
480,luancheng,37.8792,114.6517,28.09,53,12,0.3,CN,1690331532
481,mirabad,30.4362,61.8383,30.55,52,0,7.34,AF,1690331680
482,taoudenni,22.6783,-3.9836,38.91,9,6,3.9,ML,1690331680
